,Question
367,Because of the decision Sofia asked the students to suggest specific types of food. If x1 students suggested adding mashed potatoes x2 suggested adding bacon to the menu and x3 suggested adding tomatoes how many more students suggested bacon than those that suggested tomatoes?
368,Edward spent $ x1 to buy books and $ x2 to buy pens. Now he has $ x3. how much did edward spend on books and pens?
369,Edward spent $ x1. Then he received $ x2 from his friend. Now he has $ x3. how much did edward have before he spent his money?
370,"Julia played tag with x1 kids on monday, x2 kids on tuesday and x3 kids on wednesday. how many more kids did she play with on monday than on tuesday?"
371,In a school there are x1 more girls than boys. If there are x2 girls how many boys are there in that school?
372,For Gwen's birthday she received x1 dollars from her mom. Her dad gave her x2 more dollars. If she spent x3 dollars. how much money did she still have?
373,"x1 red peaches, x2 yellow peaches and x3 green peaches are in the basket. how many red and green peaches are in the basket?"
374,Randy has x1 blocks. He uses x2 blocks to build a tower and x3 blocks to build a house. how many more blocks did he use to build the tower than he did to build the house?
375,The Razorback shop makes $ x1 dollars off each jersey and $ <x4> off each t-shirt. During the Arkansas and Texas tech game they sold x3 t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysThe Razorback shop makes $ x1 dollars off each jersey and $ <<4>> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and 2 jerseys. how much money did they make from selling the jerseysx2?
376,Baker made x1 cakes. He bought x2 new cakes and sold x3 cakes. how many more cakes did baker sell than those he bought?
377,Jack received x1 emails and <x3> letters in the morning. He then received 2 emails and x4 letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonJack received x1 emails and <<3>> letters in the morning. He then received 2 emails and <4> letters in the afternoon. how many more letters did jack receive in the morning than in the afternoonx2?
378,Jake has x1 fewer peaches and x2 more apples than Steven. Steven has x3 peaches and x4 apples. how many more apples than peaches does steven have?
379,Rachel had to complete x1 pages of math homework and x2 pages of reading homework. how many more pages of math homework than reading homework did she have?
380,"Frank was reading through his favorite book. The book had x1 chapters, each with the same number of pages. It has a total of x2 pages. It took Frank x3 days to finish the book. how many pages did he read per day?"
381,Jesse's room is x1 feet wide and x2 feet long. how much longer is her room than it is wide?
382,Frank was reading through some books. Each book had x1 pages and it took Frank x2 days to finish each book. how many pages did he read per day?
383,Paul got a box of x1 crayons and x2 erasers for his birthday. At the end of the school year he only had x3 crayons left while not having lost a single eraser. how many more erasers than crayons did he have left?
384,The ring toss game at the carnival made x1 dollars in the first x2 days and x3 dollars in the remaining x4 days. how much did they make per day in the first x5 days at the carnival?
385,Mary is baking a cake. The recipe calls for x1 cups of sugar and x2 cups of flour. She already put in x3 cups of flour. how many more cups of sugar than cups of flour does she need to add now?
386,Emily is making bead necklaces for her x1 friends. She made <x3> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily haveEmily is making bead necklaces for her x1 friends. She made <<3>> necklaces and each necklace takes 2 beads. how many beads did emily havex2?
